Date,Company,Studio,Project,Category1,Category2,Country,Country_code,OS,Counterparty,Amount_USD
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,148953.72729316173
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,iOS,MainStore,197071.29018276918
2020-02-29,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,iOS,MainStore,1178909.2061464963
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,694245.2644333271
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,246079.6438425072
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,3170737.8162148064
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,261885.17935145722
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,136976.41983685
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,6243166.733221817
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,367874.3846663455
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,300890.8850511292
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,177295.61899758969
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,239717.06029569195
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,1307386.8602748432
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,530145.4062247856
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,180436.8203540092
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,2558578.5475333654
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,198141.55053647998
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,103967.12557029755
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,4891063.499140089
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,278629.6192295276
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,300245.6384334641
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,202059.9867101409
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,iOS,MainStore,172746.0535996725
2020-03-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,iOS,MainStore,912309.7265391875
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,772934.0503084072
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,183205.14470986402
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,3210195.489408039
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,230249.30691527252
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,178667.98202165996
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,6289862.0036596125
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,352298.11372543743
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,278216.2184038733
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,174162.87171336447
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,220370.2457508334
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,1324309.544688067
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,648534.9143003565
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,191381.66594709858
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,2725312.107787825
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,199816.45427208455
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,137356.53848577742
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,5249344.826485309
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,290224.95617969235
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,246412.56761590374
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,165115.4324083754
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,iOS,MainStore,149471.11104488446
2020-04-30,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,iOS,MainStore,949323.793837185
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,760693.6907335637
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,181780.01739919995
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,3546268.093966712
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,221829.78534647348
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,283555.51944188925
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,6905336.546153164
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,387948.42400267906
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,410998.3073473823
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,197942.17976336263
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,252920.85432217937
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,1388987.7114343066
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,578209.9568898762
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,151804.9161386562
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,2663499.1366742062
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,206897.15734739168
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,196475.712225185
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,5302404.831193877
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,248533.29347385024
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,331954.97708469105
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,204969.12831764366
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,iOS,MainStore,187123.99691496047
2020-05-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,iOS,MainStore,1016851.8918379382
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,696887.8350096167
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,223614.88954463045
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,2994353.869270511
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,211485.99090993855
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,152265.59358576545
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,5716962.699109196
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,309831.9223936499
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,317215.385154078
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,173262.66271709104
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,175490.74743636927
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,1068083.8084934487
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,609872.2540449126
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,110468.37112871352
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,2555814.6594501548
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,174254.84409013324
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,146062.9072912547
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,5035516.374057244
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,275908.9228857777
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,222757.40084862572
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,140329.8771896
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,iOS,MainStore,179595.60278699067
2020-06-30,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,iOS,MainStore,1126529.2893701706
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,607191.6520992885
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,183067.64607100247
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,2844895.082768524
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,225081.54288075914
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,189528.5817133368
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,5519890.655916422
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,297712.10337418393
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,290034.59840110264
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,196758.3297715245
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,207040.3411249797
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,943287.5152522511
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,542544.9916422799
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,150343.7519893453
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,2361114.814180559
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,127688.01124953793
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,139774.2456542292
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,4532296.824283854
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,280234.3466761156
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,278218.96082323143
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,178509.03390949522
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,iOS,MainStore,157444.7017172278
2020-07-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,iOS,MainStore,794751.745238321
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,681436.6252445352
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,218069.5219873847
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,2956484.7112625493
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,165946.45245894944
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,205204.22340351052
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,5610010.2236015005
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,316541.6527879129
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,300630.5558746476
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,228334.8441257704
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,201179.40849476843
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,964876.8085530145
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,638569.5228811621
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,167347.65814267204
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,2890460.589079241
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,194496.8807457112
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,133745.11256430944
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,5570671.626642745
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,280637.85031079926
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,239147.10607120994
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,149801.2734001034
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,iOS,MainStore,124418.5173132509
2020-08-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,iOS,MainStore,1335226.3219690311
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,696036.3951537298
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,255082.9274606718
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,3159322.1835060916
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,193324.36216405372
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,192219.51678297034
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,6285555.064321618
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,384218.60007492994
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,301203.3761490467
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,211158.46966108386
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,158409.48154780484
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,1301701.1962117604
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,658170.7753326688
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,131298.62133424223
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,3067898.810684865
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,180789.3984607849
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,222499.384173152
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,6036030.886880996
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,318403.315350702
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,262062.78117243774
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,212380.19588249843
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,iOS,MainStore,191619.66640010846
2020-09-30,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,iOS,MainStore,1407103.3666840978
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,726413.195825199
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,225542.77876941347
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,3410056.4454074698
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,202242.21711860536
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,155144.1749491825
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,6716220.6541306395
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,393219.9412149288
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,377685.4923038111
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,155022.77486655486
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,201085.82569234344
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,1558894.8598081814
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,627979.717656811
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,123091.8050990887
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,2549110.623846808
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,152707.6126349953
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,184482.43376509048
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,5090982.59124287
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,267964.26862722886
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,258466.65677062687
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,111541.35746292131
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,iOS,MainStore,128455.8391049349
2020-10-31,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,iOS,MainStore,1124276.450824718
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,Andriod,SuperStore,716561.3964465605
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,Andriod,SuperStore,192848.8536641113
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,Andriod,SuperStore,3165086.858472496
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,Andriod,SuperStore,149849.60550801386
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,Andriod,SuperStore,229173.91809627568
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,Andriod,SuperStore,6096110.2734623775
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,Andriod,SuperStore,309172.3952251413
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,Andriod,SuperStore,309663.869982666
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,Andriod,SuperStore,131521.74216624355
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Russia,RUS,Andriod,SuperStore,225139.62162850032
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,France,FRA,Andriod,SuperStore,1277694.2697584184
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,USA,USA,iOS,MainStore,529040.3732982071
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Japan,JPN,iOS,MainStore,117001.19178126025
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,China,CHN,iOS,MainStore,2394763.8219034136
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Germany,DEU,iOS,MainStore,157766.46550688538
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Brazil,BRA,iOS,MainStore,115094.31750597093
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Argentina,ARG,iOS,MainStore,4554403.819650726
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Mexico,MEX,iOS,MainStore,206471.39045632668
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Austria,AUT,iOS,MainStore,278976.7046928276
2020-11-30,White,White1,Whiteberry,Revenue,Mobile IAP,Israel,ISR,iOS,MainStore,144527.58428019958
